timestamp,Office_Amelie
01-01-2015 0:00,11.81
01-01-2015 1:00,11.29
01-01-2015 2:00,12.02
01-01-2015 3:00,11.45
01-01-2015 4:00,11.85
01-01-2015 5:00,11.02
01-01-2015 6:00,12.11
01-01-2015 7:00,11.39
01-01-2015 8:00,47.91
01-01-2015 9:00,47.53
01-01-2015 10:00,40.15
01-01-2015 11:00,36.23
01-01-2015 12:00,34.51
01-01-2015 13:00,35.25
01-01-2015 14:00,31.88
01-01-2015 15:00,31.03
01-01-2015 16:00,31.9
01-01-2015 17:00,33.55
01-01-2015 18:00,33.6
01-01-2015 19:00,35.24
01-01-2015 20:00,35.52
01-01-2015 21:00,19.07
01-01-2015 22:00,11.71
01-01-2015 23:00,11.06
02-01-2015 0:00,11.87
02-01-2015 1:00,11.19
02-01-2015 2:00,9.71
02-01-2015 3:00,12.18
02-01-2015 4:00,11.38
02-01-2015 5:00,12.12
02-01-2015 6:00,12.47
02-01-2015 7:00,19.86
02-01-2015 8:00,64.34
02-01-2015 9:00,62.68
02-01-2015 10:00,50.13
02-01-2015 11:00,44.1
02-01-2015 12:00,40.07
02-01-2015 13:00,39.66
02-01-2015 14:00,36.68
02-01-2015 15:00,36.51
02-01-2015 16:00,35.82
02-01-2015 17:00,33.99
02-01-2015 18:00,37.08
02-01-2015 19:00,35.5
02-01-2015 20:00,34.77
02-01-2015 21:00,20.8
02-01-2015 22:00,12.78
02-01-2015 23:00,13.39
03-01-2015 0:00,12.86
03-01-2015 1:00,13.59
03-01-2015 2:00,12.86
03-01-2015 3:00,13.53
03-01-2015 4:00,12.9
03-01-2015 5:00,12.06
03-01-2015 6:00,13.02
03-01-2015 7:00,13.64
03-01-2015 8:00,12.96
03-01-2015 9:00,13.38
03-01-2015 10:00,12.65
03-01-2015 11:00,13.31
03-01-2015 12:00,12.78
03-01-2015 13:00,13.23
03-01-2015 14:00,12.29
03-01-2015 15:00,12.53
03-01-2015 16:00,13.46
03-01-2015 17:00,12.49
03-01-2015 18:00,13.26
03-01-2015 19:00,12.92
03-01-2015 20:00,13.4
03-01-2015 21:00,12.61
03-01-2015 22:00,13.12
03-01-2015 23:00,12.54
04-01-2015 0:00,13.17
04-01-2015 1:00,12.64
04-01-2015 2:00,13.47
04-01-2015 3:00,13.01
04-01-2015 4:00,13.37
04-01-2015 5:00,12.73
04-01-2015 6:00,13.37
04-01-2015 7:00,12.72
04-01-2015 8:00,13.2
04-01-2015 9:00,12.78
04-01-2015 10:00,12.7
04-01-2015 11:00,11.9
04-01-2015 12:00,11.12
04-01-2015 13:00,10.49
04-01-2015 14:00,9.14
04-01-2015 15:00,10.82
04-01-2015 16:00,9.92
04-01-2015 17:00,9.29
04-01-2015 18:00,10.01
04-01-2015 19:00,9.41
04-01-2015 20:00,10.31
04-01-2015 21:00,9.63
04-01-2015 22:00,10.37
04-01-2015 23:00,9.85
05-01-2015 0:00,10.38
05-01-2015 1:00,9.51
05-01-2015 2:00,10.3
05-01-2015 3:00,9.67
05-01-2015 4:00,9.7
05-01-2015 5:00,10.27
05-01-2015 6:00,11.73
05-01-2015 7:00,31.82
05-01-2015 8:00,54.69
05-01-2015 9:00,47.74
05-01-2015 10:00,41.12
05-01-2015 11:00,38.71
05-01-2015 12:00,38.17
05-01-2015 13:00,37.06
05-01-2015 14:00,33
05-01-2015 15:00,36.94
05-01-2015 16:00,32.56
05-01-2015 17:00,26.46
05-01-2015 18:00,24.44
05-01-2015 19:00,25.47
05-01-2015 20:00,27.26
05-01-2015 21:00,16.56
05-01-2015 22:00,10.75
05-01-2015 23:00,8.38
06-01-2015 0:00,10.85
06-01-2015 1:00,10.71
06-01-2015 2:00,10.26
06-01-2015 3:00,9.66
06-01-2015 4:00,9.75
06-01-2015 5:00,10.13
06-01-2015 6:00,10.37
06-01-2015 7:00,15.65
06-01-2015 8:00,45.68
06-01-2015 9:00,41.32
06-01-2015 10:00,32.16
06-01-2015 11:00,32.02
06-01-2015 12:00,30.82
06-01-2015 13:00,31.47
06-01-2015 14:00,33.5
06-01-2015 15:00,31.99
06-01-2015 16:00,31.66
06-01-2015 17:00,27.48
06-01-2015 18:00,23.37
06-01-2015 19:00,20.08
06-01-2015 20:00,20.08
06-01-2015 21:00,13.72
06-01-2015 22:00,11.49
06-01-2015 23:00,9.39
07-01-2015 0:00,8.5
07-01-2015 1:00,8.96
07-01-2015 2:00,8.36
07-01-2015 3:00,8.36
07-01-2015 4:00,8.95
07-01-2015 5:00,9.76
07-01-2015 6:00,9.75
07-01-2015 7:00,7.06
07-01-2015 8:00,33.785
07-01-2015 9:00,36.2475
07-01-2015 10:00,12.72
07-01-2015 11:00,32.61
07-01-2015 12:00,31.78
07-01-2015 13:00,32.99
07-01-2015 14:00,34.54
07-01-2015 15:00,33.25
07-01-2015 16:00,34.63
07-01-2015 17:00,27.26
07-01-2015 18:00,23.02
07-01-2015 19:00,19.52
07-01-2015 20:00,18
07-01-2015 21:00,12.85
07-01-2015 22:00,10.86
07-01-2015 23:00,8.55
08-01-2015 0:00,8.95
08-01-2015 1:00,8.98
08-01-2015 2:00,8.82
08-01-2015 3:00,9.16
08-01-2015 4:00,8.58
08-01-2015 5:00,9.45
08-01-2015 6:00,11.83
08-01-2015 7:00,15.86
08-01-2015 8:00,37.37
08-01-2015 9:00,36.85
08-01-2015 10:00,36.3
08-01-2015 11:00,32.98
08-01-2015 12:00,31.65
08-01-2015 13:00,31.37
08-01-2015 14:00,31.22
08-01-2015 15:00,32.34
08-01-2015 16:00,30.8
08-01-2015 17:00,26.43
08-01-2015 18:00,21.5
08-01-2015 19:00,19.9
08-01-2015 20:00,20.69
08-01-2015 21:00,13.59
08-01-2015 22:00,10.79
08-01-2015 23:00,8.4
09-01-2015 0:00,8.61
09-01-2015 1:00,9.4
09-01-2015 2:00,8.74
09-01-2015 3:00,9.62
09-01-2015 4:00,8.71
09-01-2015 5:00,9.8
09-01-2015 6:00,12.86
09-01-2015 7:00,18.45
09-01-2015 8:00,38.03
09-01-2015 9:00,33.21
09-01-2015 10:00,30.97
09-01-2015 11:00,30.09
09-01-2015 12:00,33.78
09-01-2015 13:00,34.39
09-01-2015 14:00,36.73
09-01-2015 15:00,38.52
09-01-2015 16:00,33.68
