timestamp,Office_Conrad
01-01-2015 0:00,7.025000095
01-01-2015 1:00,6.974999905
01-01-2015 2:00,7
01-01-2015 3:00,7.5
01-01-2015 4:00,6.275000095
01-01-2015 5:00,7.75
01-01-2015 6:00,5.574999809
01-01-2015 7:00,6.5
01-01-2015 8:00,7.724999905
01-01-2015 9:00,8
01-01-2015 10:00,10.19999981
01-01-2015 11:00,8.125
01-01-2015 12:00,5.724999905
01-01-2015 13:00,6.449999809
01-01-2015 14:00,7.25
01-01-2015 15:00,5.525000095
01-01-2015 16:00,6.525000095
01-01-2015 17:00,6.550000191
01-01-2015 18:00,6.824999809
01-01-2015 19:00,7.149999619
01-01-2015 20:00,6.75
01-01-2015 21:00,6.550000191
01-01-2015 22:00,6.574999809
01-01-2015 23:00,8.524999619
02-01-2015 0:00,6.125
02-01-2015 1:00,6.775000095
02-01-2015 2:00,6.300000191
02-01-2015 3:00,7.925000191
02-01-2015 4:00,5.775000095
02-01-2015 5:00,6.900000095
02-01-2015 6:00,7.074999809
02-01-2015 7:00,7.650000095
02-01-2015 8:00,8.175000191
02-01-2015 9:00,8.725000381
02-01-2015 10:00,7.025000095
02-01-2015 11:00,8.949999809
02-01-2015 12:00,9.324999809
02-01-2015 13:00,9.449999809
02-01-2015 14:00,8.225000381
02-01-2015 15:00,10.72500038
02-01-2015 16:00,10.89999962
02-01-2015 17:00,12.02499962
02-01-2015 18:00,7.800000191
02-01-2015 19:00,5.974999905
02-01-2015 20:00,7.25
02-01-2015 21:00,6.400000095
02-01-2015 22:00,7.449999809
02-01-2015 23:00,7.150000095
03-01-2015 0:00,7.949999809
03-01-2015 1:00,7.399999619
03-01-2015 2:00,7.199999809
03-01-2015 3:00,7.099999905
03-01-2015 4:00,7.275000095
03-01-2015 5:00,6.125
03-01-2015 6:00,7.649999619
03-01-2015 7:00,6.599999905
03-01-2015 8:00,7.800000191
03-01-2015 9:00,5.650000095
03-01-2015 10:00,6.724999905
03-01-2015 11:00,8.824999809
